band,n,share_pct,H_lo,H_hi,r2,b_dm_Hz,se_dm_Hz,b_dm_CH,se_dm_CH,b_dm_Gz,se_dm_Gz
H p0-p50,617065,50.0,0.0,0.048046602555874486,0.3420240545866996,0.7190372938358253,0.005496004025670154,0.24018547556774403,0.0037754115687742514,-0.4184029566743718,0.006362671733246489
H p50-p75,308533,25.0,0.04804661736813529,0.10525517578657148,0.3848053063276409,0.5632168323400947,0.007060547659007979,0.15870748552836217,0.005016409439966819,-0.38269308921190376,0.007561745522449297
H p75-p90,185119,15.0,0.10525518184888094,0.26332429995699247,0.39026257260303265,0.41226725094344485,0.006535564955036579,0.050932432763371505,0.004820427689850651,-0.21423852049172706,0.006334156683964549
H p90-p95,61707,5.0,0.26332483091883824,0.40471887462032907,0.42249266970328503,0.31103425874011964,0.01158291980566714,0.040055993224715834,0.006434415400187891,-0.0941945660597834,0.008448966123705893
H p95-p99,49361,4.0,0.40472206543782796,0.8008976361249157,0.4138111605052852,-0.042114007677202754,0.009934705603150372,-0.017232576887523988,0.003890701322222054,0.13448877536627662,0.007784627819415989
H p99-p100,12346,1.0,0.800916810477438,1.0000000590602602,0.5091962390362498,-0.5851476359884118,0.03141396938045239,-0.04750505093799224,0.008744001069852635,0.14247315046992473,0.01479560978786901
H p90-p100,123414,10.0,0.26332483091883824,1.0000000590602602,0.4125472047186034,0.010776196046627329,0.00585647254673241,0.01975407052214724,0.002622832195985867,0.04778396033445804,0.005349625986687168
H p0-p100,1234131,100.0,0.0,1.0000000590602602,0.3578442933082796,0.41374448841032974,0.0025200548294543866,0.10449150391107397,0.0015853783570375396,-0.1671717696484716,0.002845316119948251
