bp_decile,n,mean_boilerplate_share,mean_H_raw,mean_H_residual,mean_G_raw,mean_G_residual,mean_log_fh
0,804471,0.02711173,0.08349927433478872,0.07950582146078297,0.08298091698719233,0.07846300518842148,4.198920673155527
1,129828,0.4713447,0.08822348328338567,0.0541257834299135,0.08170369911562796,0.04895500541006975,4.050130535900867
2,100623,0.65671265,0.13192612356922478,0.06286466877523056,0.11756484997579572,0.05481171128761516,4.038394092584438
3,114284,0.80504256,0.19984005134709912,0.10640665331319199,0.23638275153020755,0.12741327348200038,3.5875857498910686
