specification,channel,z_p25_C,z_p75_C,z_p25_H,z_p75_H,n_at_or_below_p25_corner,n_at_or_above_p75_corner,pct_low_corner,pct_high_corner,median_fh_low_corner,median_fh_high_corner,z_p25_V,z_p75_V,z_p25_G,z_p75_G
active_raw,current_CH,-0.489586858421165,0.6982408460321383,-0.5216737002418197,0.011574280732176211,62231,93793,5.042,7.6,49.63,188.11055555555555,,,,
active_raw,recent_VG,,,,,60049,55118,4.866,4.466,107.165,91.97583333333333,-0.5501362783177489,0.7019094606993692,-0.5008903420964087,-0.0402730422915133
active_residual,current_CH,-0.524850249853268,0.7060181683847917,-0.448089627588514,-0.05890902111598822,41263,72889,3.591,6.343,36.00388888888889,185.9688888888889,,,,
active_residual,recent_VG,,,,,37450,47883,3.259,4.167,77.31527777777778,97.05833333333334,-0.596501414226593,0.7097245602698303,-0.4285593166897161,-0.13252266234582713
