fundraising_year,variable,n,p25,p50,p75,mean
2016,funding_hours,102468,4.948819444444444,40.84125,293.4591666666667,179.2138548999579
2016,H_active_raw,102468,0.024096447032558845,0.04223518362846694,0.07597806085887034,0.08455873769370972
2016,G_lag_raw,102468,0.024618307591655574,0.04254725546684465,0.09133035996748233,0.09651816049074348
2016,C_active,102468,5.087596335232384,6.202535517187923,6.535241271013659,5.791014992645598
2016,V_lag,102468,5.275451198806738,6.476236174786463,6.693965802953176,6.017681199408181
2016,pool_size_active,102468,161.0,493.0,688.0,480.25662645899206
2016,boilerplate_share,102468,0.0,0.0,0.5555555820465088,0.24480043351650238
2017,funding_hours,153563,2.6352777777777776,27.738055555555555,215.33694444444444,154.47261458561704
2017,H_active_raw,153563,0.023010937142003956,0.03808012037543959,0.06835968503512985,0.08246582953413531
2017,G_lag_raw,153563,0.024244953705855388,0.0419668868719624,0.08739467853982263,0.1020699244839423
2017,C_active,153563,5.017279836814924,6.061456918928017,6.642486801367256,5.758936825946412
2017,V_lag,153563,5.562524043560192,6.641684592723341,6.903762200157169,6.234130173911219
2017,pool_size_active,153563,150.0,428.0,766.0,497.5419599773383
2017,boilerplate_share,153563,0.0,0.0,0.529411792755127,0.23949164152145386
2018,funding_hours,145009,3.1475,28.975277777777777,238.51277777777779,164.38504186904873
2018,H_active_raw,145009,0.022948979247972377,0.03605281449192516,0.05945766465952906,0.05688146362023967
2018,G_lag_raw,145009,0.023682428883920394,0.03851418859153183,0.07347642089527734,0.07183840142313298
2018,C_active,145009,5.187385805840755,6.102558594613569,6.71174039505618,5.790082599195642
2018,V_lag,145009,5.411935379911469,6.642750797360365,6.924995007358995,6.1981560606257755
2018,pool_size_active,145009,178.0,446.0,821.0,520.8218800212401
2018,boilerplate_share,145009,0.0,0.0,0.4545454680919647,0.22523894906044006
2019,funding_hours,133897,7.464722222222222,44.88333333333333,234.9175,170.42050139286167
2019,H_active_raw,133897,0.025686636324132157,0.046749930949231355,0.10865903825257053,0.13167981903790224
2019,G_lag_raw,133897,0.025651819702380885,0.042229702668470086,0.09247100372268123,0.13997795945696553
2019,C_active,133897,5.075173815233827,6.261491684321042,6.841615476477592,5.880707489890325
2019,V_lag,133897,5.376792430251224,6.4545086221031465,6.77038130133044,6.110738421873331
2019,pool_size_active,133897,159.0,523.0,935.0,582.4667916383489
2019,boilerplate_share,133897,0.0,0.0,0.4545454680919647,0.21640588343143463
2020,funding_hours,127096,13.873611111111112,120.27527777777777,682.6098611111111,344.4437378044942
2020,H_active_raw,127096,0.029236992748787785,0.059720198967221125,0.15800751595029955,0.12873055154905882
2020,G_lag_raw,127096,0.02712462487165115,0.04936490641657354,0.12739443072392212,0.11544135967373614
2020,C_active,127096,5.958424693029782,7.165493475060845,7.7702232041587855,6.66762936865114
2020,V_lag,127096,5.876379220784066,6.718854223040738,7.087176625725299,6.269409693989389
2020,pool_size_active,127096,386.0,1293.0,2368.0,1418.8416393906969
2020,boilerplate_share,127096,0.0,0.0,0.6666666865348816,0.3210991322994232
2021,funding_hours,153903,20.515,131.5336111111111,595.6179166666666,278.9438565705527
2021,H_active_raw,153903,0.03520375453442217,0.07637525565873395,0.16495288532701696,0.13302959725494376
2021,G_lag_raw,153903,0.03161724043922387,0.058776527211806706,0.10991939671891271,0.10018671182670681
2021,C_active,153903,6.62273632394984,7.195937226475569,7.696212639346407,6.810762760805885
2021,V_lag,153903,5.843323855244983,6.657315853512317,7.271965005662818,6.3326105561069586
2021,pool_size_active,153903,751.0,1333.0,2199.0,1471.9774728237917
2021,boilerplate_share,153903,0.0,0.2777777910232544,0.7142857313156128,0.35113540291786194
2022,funding_hours,136845,18.528333333333332,118.0325,530.5991666666666,279.06496072807437
2022,H_active_raw,136845,0.029433235248200525,0.0599780588565492,0.13941488355091075,0.1159860757352415
2022,G_lag_raw,136845,0.028734404632027283,0.05301080308286774,0.11123847938896278,0.09740807682220333
2022,C_active,136845,6.483107351457199,7.029972911706386,7.330405211844402,6.569161823559065
2022,V_lag,136845,6.118612784648309,6.728934977483058,7.116442114356735,6.315894198434016
2022,pool_size_active,136845,653.0,1129.0,1525.0,1092.160035076181
2022,boilerplate_share,136845,0.0,0.0,0.625,0.3010867238044739
2023,funding_hours,141316,21.056319444444444,132.38694444444445,530.8484027777778,285.1854214530241
2023,H_active_raw,141316,0.025447295179180596,0.04851409625529349,0.10158744168554783,0.09236619390721935
2023,G_lag_raw,141316,0.02561674384950709,0.04761858381101032,0.09452379821895056,0.09474673356676248
2023,C_active,141316,6.476972362889683,7.037027614686276,7.252053951852814,6.537274555628573
2023,V_lag,141316,6.009452058388665,6.66531226957729,7.009859574744991,6.231202823080445
2023,pool_size_active,141316,649.0,1137.0,1410.0,1014.5514379121968
2023,boilerplate_share,141316,0.0,0.0,0.5,0.2503190338611603
2024,funding_hours,140034,21.033680555555556,110.5648611111111,486.320625,270.4484005293159
2024,H_active_raw,140034,0.02736541688146435,0.052295553897552055,0.11159251268411507,0.10578252161298635
2024,G_lag_raw,140034,0.026319295383975705,0.05164969762851532,0.10832324976132025,0.11341223545635273
2024,C_active,140034,6.548219102762372,6.93828448401696,7.2254814727822945,6.52057385286043
2024,V_lag,140034,6.012821652691709,6.602909280516499,6.992436679692324,6.210388833005355
2024,pool_size_active,140034,697.0,1030.0,1373.0,984.3221503349187
2024,boilerplate_share,140034,0.0,0.0,0.4166666567325592,0.2219938188791275
2025,funding_hours,133409,13.311111111111112,65.23555555555555,317.1825,198.7437013786343
2025,H_active_raw,133409,0.02810637104176273,0.06430444617417432,0.17531377271088355,0.15644053663920507
2025,G_lag_raw,133409,0.027295826381030546,0.060592748402136416,0.15998660656078081,0.14969699831239222
2025,C_active,133409,6.095824562432225,6.646390514847729,7.01211529430638,6.251786319738879
2025,V_lag,133409,6.058332972822844,6.62641306312764,6.946567615487132,6.220704907213132
2025,pool_size_active,133409,443.0,769.0,1109.0,789.9928640496519
2025,boilerplate_share,133409,0.0,0.0,0.3913043439388275,0.22245925664901733
