cut,threshold,n,share_pct,median_funding_hours,mean_dm_outcome,vs_全样本_dm,pct_funded_72h,总募资小时占比
H>0.5,0.5,43272,3.506,20.575694444444444,0.3096744256183382,0.3096744256183382,72.51,0.901
H>0.4,0.4,63345,5.133,23.835,0.3120772934893523,0.3120772934893523,68.25,2.233
H>0.3,0.3,104826,8.494,35.24611111111111,0.30510777514738274,0.30510777514738274,60.79,5.756
H>0.2,0.2,164657,13.342,45.67916666666667,0.28074793963475403,0.28074793963475403,56.79,10.854
H>p90,0.2633,123413,10.0,39.60583333333334,0.2961462222852003,0.2961462222852003,59.09,7.349
H>p75,0.1053,308533,25.0,60.92166666666667,0.24539970478907094,0.24539970478907094,52.36,23.549
