fundraising_year,mean,pct_zero,pct_one
2016,0.24480045,63.494944763243154,5.4104696100245935
2017,0.23949167,64.10919296966065,5.251916151677162
2018,0.22523895,62.80851533353102,4.456964740119579
2019,0.21640588,64.92901259923673,4.121078142154044
2020,0.32109913,51.927676716812485,8.821678101592497
2021,0.3511354,48.33888878059557,9.458555063903889
2022,0.3010867,54.84818590375973,9.047462457524936
2023,0.25031906,61.388660873503355,8.27365620311925
2024,0.22199382,63.6395446820058,6.779067940642987
2025,0.22245926,62.124744207662154,6.773156233837298
