grouping,level,n,r2,b_const,b_dm_active_raw_Cz,b_dm_active_raw_Hz,b_dm_active_raw_CH,b_dm_active_raw_Vz,b_dm_active_raw_Gz,b_dm_active_raw_VG,b_dm_log_loan_amount,b_dm_log_borrower_count,b_dm_log_repayment_term,b_dm_log_platform_posting_7d,loans,share_of_train_pct,median_funding_hours,pct_funded_72h,mean_H_raw,median_H_raw,mean_G_raw,median_pool_active,mean_boilerplate_share,mean_log_loan_amount
sector,Agriculture,402595,0.3500022503110426,-1.0606222167245644e-11,0.5241083804581487,0.8888599827882916,0.19655156647178254,0.005290434843239458,-0.639273288253416,0.16942712749313268,1.289666402199193,-0.05153218097005617,1.7962318822522092,-0.003522643114546189,402595,32.622,107.42861111111111,44.593946770327506,0.06792829421656418,0.0472878409207527,0.05735720386413946,1341.0,0.29325082898139954,5.92283541711892
sector,Food,259893,0.406817440094265,2.032689650152498e-11,0.8223449920972935,0.830053062859943,0.36656056954691935,0.16362207068898013,-0.7912489749684778,0.24726272781727845,1.253768896814229,-0.06141796430127323,3.0941169983370687,-0.08920297061440423,259893,21.059,77.5925,48.951299188512195,0.04522592033823039,0.034100529909945235,0.04283507135351093,816.0,0.2816753685474396,5.945355212196289
sector,Retail,235332,0.45344462984100387,3.391329639308314e-11,0.8750362651622219,0.6034589775714451,0.07560131259255859,0.0785417586833904,-0.44673614990284094,0.093971849069739,1.1339761730234903,0.09040218181578669,3.914259999458086,-0.30727997902403803,235332,19.069,88.1888888888889,47.50905104278211,0.11592985214628525,0.0483136292381586,0.10851609912880633,820.0,0.3673461973667145,5.922632142949349
sector,Housing,74036,0.39094813784468097,-9.270324624922416e-14,0.43532128427456396,0.30016146209142086,-0.035087060176756966,0.17563689215197206,-0.20374094157535455,0.07174874890177436,1.283386693467137,-0.45557822379462487,1.360663672198315,-0.6334099680477608,74036,5.999,25.203611111111112,64.54697714625317,0.3007694313318189,0.16286016962103395,0.3782499937466601,189.0,0.004446059465408325,5.521826949953804
sector,Services,55101,0.3335852484842874,-2.8926396231764564e-11,0.5353828296025519,0.90415248471943,0.14378173688657295,0.2196814334432744,-0.5880960751325559,0.2711789129845443,1.2524346562798423,-0.3850203635377751,1.5182527526504281,-0.004551684192129845,55101,4.465,139.02027777777778,39.67623092139888,0.03705418357423355,0.02841148730778419,0.03414283283305498,216.0,0.0656147226691246,6.135308943536299
sector,Personal Use,42586,0.48517368538276173,6.500138888390155e-12,0.5557540690095791,0.2850336897328315,0.04022005405042763,0.139709449025397,0.14215341314537577,0.10895300095395663,1.336724770277032,0.06847862208988958,1.0658674862751498,-0.27604239035049455,42586,3.451,9.98027777777778,81.29667026722397,0.3273416658149819,0.279246013799032,0.45700627101684344,51.0,0.4469988942146301,5.2058872722083285
sector,Clothing,35933,0.3783696942981374,1.0376604208192327e-11,0.16565975491453777,0.8035068480636407,-0.0059192538613427855,0.03466779937867319,-0.5191052200532859,-0.10008309656526565,1.1151474070308665,-0.11891083281041892,2.5927376865153504,-0.002118112638196096,35933,2.912,155.02138888888888,38.40759190716055,0.06860656777030782,0.05190785823068734,0.06520166519878152,142.0,0.132969468832016,6.11957251737069
sector,Education,34060,0.3479130197005148,3.312235784635522e-11,0.5820039500723995,0.863473566223759,0.23085480936186972,0.03397455202342445,-0.04346568386761767,0.11709812211103812,0.9365750387217395,-0.6445485683180747,0.40071815676826245,-0.25946516186037233,34060,2.76,27.58027777777778,64.46564885496183,0.14540839234274314,0.11662439354147075,0.11443844023858636,55.0,0.20280161499977112,6.243322307569983
sector,Clean Energy,21090,0.5531618877314997,5.6710563842650156e-12,0.8804397527361499,-0.043527038011224865,-0.05131814679434986,-0.27268357935854404,-0.018873799276818846,0.0648513738637822,1.1221786534965572,-0.09710161544749511,1.1836279893016057,0.3503443945553514,21090,1.709,6.126805555555556,88.7624466571835,0.4207985698512516,0.351074524657362,0.30175640600932613,28.0,0.393953800201416,5.071310277748754
sector,Transportation,16722,0.38413994215570624,5.159355590937099e-11,0.11786953421377747,1.068161856485784,0.033088700751513454,-0.003625591168608044,-0.18603386487575088,0.20579576221552234,1.067964684925204,-0.4017011454236448,2.385469287249444,-0.11727060899967598,16722,1.355,175.89097222222222,38.36861619423514,0.06724783166022501,0.059827575475678046,0.06431356805417267,82.0,0.06467298418283463,5.963404030506142
sector,Reuse & Recycle,15349,0.43038025561632764,-4.356812754533785e-12,0.38817648688645956,0.8959417103764747,0.20285950548419657,0.0785490081731177,-0.5986283709667498,0.010425267012884694,1.3329932860030906,-0.5009245604604794,2.4110676516479677,0.06578984552397053,15349,1.244,59.69277777777778,52.980650205225096,0.07817058214312995,0.07034835653429651,0.07663710705496611,38.0,0.08034119009971619,6.1019517783661925
sector,Health,14620,0.46165794877797695,1.2078549665784296e-11,0.5461462399192316,0.7068051284997171,0.12973002117033644,0.09509512941236979,-0.074376463784219,0.12682928402523455,1.2727234593848775,-0.5325919747576827,0.9930137149532373,0.012960408987802008,14620,1.185,87.09222222222222,46.66894664842681,0.1701104284416028,0.1486824076160114,0.14201270040518219,48.0,0.10035334527492523,6.2339502826952575
sector,Arts,13518,0.34036595395220526,2.180391837087765e-11,0.5247158468210522,0.4596217711318078,0.03435625346059566,-0.011505300180028084,-0.1938283080607071,-0.034956301442389086,1.1442882362891889,0.06057978113084667,0.8794220043839177,-0.09697011559113031,13518,1.095,47.750416666666666,56.50983873354046,0.10444039367586914,0.055677088736208705,0.06403769916816511,42.0,0.06024833768606186,6.079037969719067
sector,Construction,9077,0.31319570815402353,4.509996203858927e-12,0.49573520291950135,0.7051296948119674,0.09508946161684809,0.28726035109343506,-0.24727964650450185,0.03943804008820049,1.0323970693636548,-0.25701451993838864,1.1549688639698863,-0.12486325247188206,9077,0.735,129.32305555555556,39.858984245896224,0.04592790525009121,0.02990800354526781,0.03611238132642895,33.0,0.051222968846559525,6.373626123523907
sector,Manufacturing,4199,0.3778847613996028,-8.847654204108112e-12,0.707257739977762,0.5324990315119783,0.06249893117438714,-0.23000400306434882,-0.4153598014671978,-0.061456213710045164,1.0448459712946658,0.0435589648299513,1.49325320270439,-0.27316627220490686,4199,0.34,43.475,61.25267920933556,0.050928587420192475,0.03576635334639807,0.04271020963731717,16.0,0.06229359284043312,6.113582063239705
