sample,variable,n,mean,std,min,max,skew,kurtosis,pct_zero,iqr,p01,p05,p10,p25,p50,p75,p90,p95,p99
train_2016_2024,funding_hours,1234131,236.45031552993794,299.83642667727224,0.0033333333333333335,4160.599166666667,1.2077636233452282,0.4189353110533478,0.0,402.38069444444443,0.18166666666666667,0.5752777777777778,1.7175,9.82986111111111,73.83805555555556,412.2105555555555,719.4211111111111,828.6694444444445,1071.3256944444443
train_2016_2024,log_funding_hours,1234131,4.07846862673409,2.06312688049776,0.0033277900926747457,8.333654694450871,-0.30978397309401146,-1.162806652793855,0.0,3.6416500463935133,0.1669258713159811,0.45443162356982664,0.9997123400132275,2.3823072363896216,4.315326519715556,6.023957282783135,6.579835917579688,6.721027361758696,6.977585114931234
train_2016_2024,funded_within_72h,1234131,0.49631116955979554,0.4999865949111133,0.0,1.0,0.014755741276986924,-1.9997855089014038,50.36888304402045,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
train_2016_2024,pool_size_active,1234131,904.8211194759714,756.0641944734657,10.0,4655.0,1.1263653773322022,1.3530028501776776,0.0,1008.0,14.0,33.0,67.0,281.0,807.0,1289.0,1916.0,2456.0,3245.0
train_2016_2024,C_active,1234131,6.268607499239403,1.2800597432751655,2.3978952727983707,8.445911989411274,-1.0287077251207397,0.3258528634540032,0.0,1.520490426417604,2.70805020110221,3.5263605246161616,4.219507705176107,5.641907070938114,6.694562058521095,7.162397497355718,7.558516743045645,7.806696372521179,8.085178748074537
train_2016_2024,H_active_raw,1234131,0.10353925094849432,0.14825352079650714,0.0,1.0000000590602602,3.043405675982473,10.262696397584223,0.006320236668554634,0.07905589063702397,0.007463596734182108,0.012709740373967715,0.01659161531072404,0.026199288180702246,0.04804661736813529,0.10525517881772621,0.26332483091883824,0.4047204700290785,0.800916810477438
train_2016_2024,H_active_residual,1149206,0.07785669361361774,0.12887862183439178,0.0,1.0000000462284284,3.730526142914779,15.750581488426313,0.13200418375817738,0.05015706020685154,0.004237847930766808,0.009963210555080712,0.01329613755715425,0.020107519951724297,0.03263604676018518,0.07026458015857584,0.18161764747845507,0.3232776088080687,0.7428899308227159
train_2016_2024,pool_size_14d,1234131,1158.6123993319995,766.4117696558718,1.0,5029.0,0.5389078375059259,0.5785958061169527,0.0,1197.0,39.0,83.0,146.0,468.0,1162.0,1665.0,2122.0,2407.0,3068.0
train_2016_2024,C_14d,1234131,6.681150011966003,1.0570848699727282,0.6931471805599453,8.523175263093785,-1.1857851473590868,0.6162487317523051,0.0,1.2675780542805084,3.6888794541139363,4.430816798843313,4.990432586778736,6.150602768446279,7.0587581525186645,7.418180822726788,7.660585461703256,7.786551806428712,8.029107054619736
train_2016_2024,H_14d_raw,1234131,0.12219094945617526,0.17727680759231126,0.0,0.9826219063833039,2.6182375081130282,6.592189778516248,0.005590978591413715,0.0954005611279377,0.00771658170431519,0.01309948776816663,0.017145768381048098,0.027290571328736343,0.05180640521577532,0.12269113245667404,0.3355178725833912,0.5689811526431644,0.8405692172772873
