variable,group,bin,left,right,count,share_pct
funding_hours,结果变量,0,0.03,29.311364791667614,473283,38.3495
funding_hours,结果变量,1,29.311364791667614,58.59272958333523,105246,8.5279
funding_hours,结果变量,2,58.59272958333523,87.87409437500284,65529,5.3097
funding_hours,结果变量,3,87.87409437500284,117.15545916667045,50601,4.1001
funding_hours,结果变量,4,117.15545916667045,146.43682395833807,40871,3.3117
funding_hours,结果变量,5,146.43682395833807,175.71818875000568,32185,2.6079
funding_hours,结果变量,6,175.71818875000568,204.9995535416733,27319,2.2136
funding_hours,结果变量,7,204.9995535416733,234.2809183333409,24580,1.9917
funding_hours,结果变量,8,234.2809183333409,263.5622831250085,21341,1.7292
funding_hours,结果变量,9,263.5622831250085,292.8436479166761,19625,1.5902
funding_hours,结果变量,10,292.8436479166761,322.1250127083437,17867,1.4477
funding_hours,结果变量,11,322.1250127083437,351.40637750001133,16414,1.33
funding_hours,结果变量,12,351.40637750001133,380.68774229167894,15602,1.2642
funding_hours,结果变量,13,380.68774229167894,409.96910708334656,14023,1.1363
funding_hours,结果变量,14,409.96910708334656,439.25047187501417,13558,1.0986
funding_hours,结果变量,15,439.25047187501417,468.5318366666818,12851,1.0413
funding_hours,结果变量,16,468.5318366666818,497.8132014583494,12163,0.9856
funding_hours,结果变量,17,497.8132014583494,527.094566250017,12128,0.9827
funding_hours,结果变量,18,527.094566250017,556.3759310416847,11645,0.9436
funding_hours,结果变量,19,556.3759310416847,585.6572958333522,11426,0.9258
funding_hours,结果变量,20,585.6572958333522,614.9386606250198,13754,1.1145
funding_hours,结果变量,21,614.9386606250198,644.2200254166875,14668,1.1885
funding_hours,结果变量,22,644.2200254166875,673.5013902083551,17480,1.4164
funding_hours,结果变量,23,673.5013902083551,702.7827550000227,34817,2.8212
funding_hours,结果变量,24,702.7827550000227,732.0641197916902,43433,3.5193
funding_hours,结果变量,25,732.0641197916902,761.3454845833579,6298,0.5103
funding_hours,结果变量,26,761.3454845833579,790.6268493750256,7904,0.6405
funding_hours,结果变量,27,790.6268493750256,819.9082141666931,23682,1.9189
funding_hours,结果变量,28,819.9082141666931,849.1895789583607,41345,3.3501
funding_hours,结果变量,29,849.1895789583607,878.4709437500284,1348,0.1092
funding_hours,结果变量,30,878.4709437500284,907.752308541696,1263,0.1023
funding_hours,结果变量,31,907.752308541696,937.0336733333636,1245,0.1009
funding_hours,结果变量,32,937.0336733333636,966.3150381250312,1716,0.139
funding_hours,结果变量,33,966.3150381250312,995.5964029166988,1670,0.1353
funding_hours,结果变量,34,995.5964029166988,1024.8777677083665,1902,0.1541
funding_hours,结果变量,35,1024.8777677083665,1054.159132500034,2933,0.2377
funding_hours,结果变量,36,1054.159132500034,1083.4404972917016,19003,1.5398
funding_hours,结果变量,37,1083.4404972917016,1112.7218620833694,75,0.0061
funding_hours,结果变量,38,1112.7218620833694,1142.003226875037,48,0.0039
funding_hours,结果变量,39,1142.003226875037,1171.2845916667045,1290,0.1045
log_funding_hours,结果变量,0,0.02955880224154443,0.20548757622538014,15509,1.2567
log_funding_hours,结果变量,1,0.20548757622538014,0.3814163502092159,37259,3.019
log_funding_hours,结果变量,2,0.3814163502092159,0.5573451241930515,18650,1.5112
log_funding_hours,结果变量,3,0.5573451241930515,0.7332738981768873,18576,1.5052
log_funding_hours,结果变量,4,0.7332738981768873,0.909202672160723,21535,1.745
log_funding_hours,结果变量,5,0.909202672160723,1.0851314461445587,23198,1.8797
log_funding_hours,结果变量,6,1.0851314461445587,1.2610602201283945,23929,1.9389
log_funding_hours,结果变量,7,1.2610602201283945,1.4369889941122302,24171,1.9585
log_funding_hours,结果变量,8,1.4369889941122302,1.612917768096066,24125,1.9548
log_funding_hours,结果变量,9,1.612917768096066,1.7888465420799018,23424,1.898
log_funding_hours,结果变量,10,1.7888465420799018,1.9647753160637373,23161,1.8767
log_funding_hours,结果变量,11,1.9647753160637373,2.140704090047573,23277,1.8861
log_funding_hours,结果变量,12,2.140704090047573,2.316632864031409,23028,1.8659
log_funding_hours,结果变量,13,2.316632864031409,2.4925616380152444,23518,1.9056
log_funding_hours,结果变量,14,2.4925616380152444,2.6684904119990804,24395,1.9767
log_funding_hours,结果变量,15,2.6684904119990804,2.844419185982916,25815,2.0918
log_funding_hours,结果变量,16,2.844419185982916,3.0203479599667515,29356,2.3787
log_funding_hours,结果变量,17,3.0203479599667515,3.1962767339505875,33661,2.7275
log_funding_hours,结果变量,18,3.1962767339505875,3.372205507934423,30675,2.4856
log_funding_hours,结果变量,19,3.372205507934423,3.548134281918259,25376,2.0562
log_funding_hours,结果变量,20,3.548134281918259,3.7240630559020946,25786,2.0894
log_funding_hours,结果变量,21,3.7240630559020946,3.89999182988593,30599,2.4794
log_funding_hours,结果变量,22,3.89999182988593,4.075920603869766,27834,2.2554
log_funding_hours,结果变量,23,4.075920603869766,4.251849377853601,28528,2.3116
log_funding_hours,结果变量,24,4.251849377853601,4.427778151837437,29654,2.4028
log_funding_hours,结果变量,25,4.427778151837437,4.603706925821273,31141,2.5233
log_funding_hours,结果变量,26,4.603706925821273,4.779635699805109,30055,2.4353
log_funding_hours,结果变量,27,4.779635699805109,4.955564473788944,31589,2.5596
log_funding_hours,结果变量,28,4.955564473788944,5.13149324777278,32084,2.5997
log_funding_hours,结果变量,29,5.13149324777278,5.307422021756616,31741,2.5719
log_funding_hours,结果变量,30,5.307422021756616,5.483350795740451,32414,2.6265
log_funding_hours,结果变量,31,5.483350795740451,5.659279569724287,31531,2.5549
log_funding_hours,结果变量,32,5.659279569724287,5.835208343708123,34083,2.7617
log_funding_hours,结果变量,33,5.835208343708123,6.011137117691958,33250,2.6942
log_funding_hours,结果变量,34,6.011137117691958,6.187065891675794,35300,2.8603
log_funding_hours,结果变量,35,6.187065891675794,6.36299466565963,37400,3.0305
log_funding_hours,结果变量,36,6.36299466565963,6.538923439643465,61476,4.9813
log_funding_hours,结果变量,37,6.538923439643465,6.714852213627301,107881,8.7415
log_funding_hours,结果变量,38,6.714852213627301,6.890780987611137,43113,3.4934
log_funding_hours,结果变量,39,6.890780987611137,7.066709761594973,26034,2.1095
funded_within_72h,结果变量,0,0.0,0.025,621618,50.3689
funded_within_72h,结果变量,1,0.025,0.05,0,0.0
funded_within_72h,结果变量,2,0.05,0.07500000000000001,0,0.0
funded_within_72h,结果变量,3,0.07500000000000001,0.1,0,0.0
funded_within_72h,结果变量,4,0.1,0.125,0,0.0
funded_within_72h,结果变量,5,0.125,0.15000000000000002,0,0.0
funded_within_72h,结果变量,6,0.15000000000000002,0.17500000000000002,0,0.0
funded_within_72h,结果变量,7,0.17500000000000002,0.2,0,0.0
funded_within_72h,结果变量,8,0.2,0.225,0,0.0
funded_within_72h,结果变量,9,0.225,0.25,0,0.0
funded_within_72h,结果变量,10,0.25,0.275,0,0.0
funded_within_72h,结果变量,11,0.275,0.30000000000000004,0,0.0
funded_within_72h,结果变量,12,0.30000000000000004,0.325,0,0.0
funded_within_72h,结果变量,13,0.325,0.35000000000000003,0,0.0
funded_within_72h,结果变量,14,0.35000000000000003,0.375,0,0.0
funded_within_72h,结果变量,15,0.375,0.4,0,0.0
funded_within_72h,结果变量,16,0.4,0.42500000000000004,0,0.0
funded_within_72h,结果变量,17,0.42500000000000004,0.45,0,0.0
funded_within_72h,结果变量,18,0.45,0.47500000000000003,0,0.0
funded_within_72h,结果变量,19,0.47500000000000003,0.5,0,0.0
funded_within_72h,结果变量,20,0.5,0.525,0,0.0
funded_within_72h,结果变量,21,0.525,0.55,0,0.0
funded_within_72h,结果变量,22,0.55,0.5750000000000001,0,0.0
funded_within_72h,结果变量,23,0.5750000000000001,0.6000000000000001,0,0.0
funded_within_72h,结果变量,24,0.6000000000000001,0.625,0,0.0
funded_within_72h,结果变量,25,0.625,0.65,0,0.0
funded_within_72h,结果变量,26,0.65,0.675,0,0.0
funded_within_72h,结果变量,27,0.675,0.7000000000000001,0,0.0
funded_within_72h,结果变量,28,0.7000000000000001,0.7250000000000001,0,0.0
funded_within_72h,结果变量,29,0.7250000000000001,0.75,0,0.0
funded_within_72h,结果变量,30,0.75,0.775,0,0.0
funded_within_72h,结果变量,31,0.775,0.8,0,0.0
funded_within_72h,结果变量,32,0.8,0.8250000000000001,0,0.0
funded_within_72h,结果变量,33,0.8250000000000001,0.8500000000000001,0,0.0
