x_bin,y_bin,n,mean,median,std,x_var,y_var,outcome,view
3,0,28081,0.029341112219017564,0.22081424315498957,1.7771135610319135,dm_active_raw_Cz,dm_active_raw_Hz,dm_log_funding_hours,FE_demeaned
3,1,49243,0.021054363885450005,0.2273500065674609,1.760149601407324,dm_active_raw_Cz,dm_active_raw_Hz,dm_log_funding_hours,FE_demeaned
3,2,57688,0.09447234828662746,0.36085214247481456,1.7335859287268052,dm_active_raw_Cz,dm_active_raw_Hz,dm_log_funding_hours,FE_demeaned
3,3,59385,0.20099689045579303,0.46927984673375434,1.6939436337699092,dm_active_raw_Cz,dm_active_raw_Hz,dm_log_funding_hours,FE_demeaned
3,4,52429,0.3468088672300623,0.6332880942448829,1.651262022586047,dm_active_raw_Cz,dm_active_raw_Hz,dm_log_funding_hours,FE_demeaned
4,0,33857,0.09993686371864725,0.2525759429463297,1.717258066473645,dm_active_raw_Cz,dm_active_raw_Hz,dm_log_funding_hours,FE_demeaned
4,1,40471,0.03934812364063543,0.24637355001202993,1.7148033288782545,dm_active_raw_Cz,dm_active_raw_Hz,dm_log_funding_hours,FE_demeaned
4,2,40802,0.1571812690168589,0.42326811543446297,1.6848543948265848,dm_active_raw_Cz,dm_active_raw_Hz,dm_log_funding_hours,FE_demeaned
4,3,43811,0.2794137160448099,0.5718158687343103,1.645678069054451,dm_active_raw_Cz,dm_active_raw_Hz,dm_log_funding_hours,FE_demeaned
4,4,87885,0.4556199660725936,0.7314546856872596,1.6479257214978087,dm_active_raw_Cz,dm_active_raw_Hz,dm_log_funding_hours,FE_demeaned
