variable,r2_on_others,vif,focal_block_condition_number
active_raw_Cz,0.7809056886137303,4.5642444738648225,27.880820194029635
active_raw_Hz,0.6849857789278626,3.1744598596106006,27.880820194029635
active_raw_CH,0.42153568164116306,1.7287150966149534,27.880820194029635
active_raw_Vz,0.7693399107684981,4.335383738607463,27.880820194029635
active_raw_Gz,0.7040998163608319,3.3795180107743286,27.880820194029635
active_raw_VG,0.4473326070570708,1.809406548620581,27.880820194029635
log_loan_amount,0.3348461422019533,1.5034115615151689,27.880820194029635
log_borrower_count,0.24762490150179883,1.3291242652715078,27.880820194029635
log_repayment_term,0.1878205096138451,1.2312549280511194,27.880820194029635
log_platform_posting_7d,0.05036312869712978,1.0530340914712306,27.880820194029635
