band,n,share_pct,G_lo,G_hi,r2,b_dm_Gz,se_dm_Gz,b_dm_VG,se_dm_VG,b_dm_Hz,se_dm_Hz,b_dm_CH,se_dm_CH
G p0-p50,617065,50.0,-2.9121867062952424e-21,0.047003287031325114,0.3317062204319481,-0.5045402619807549,0.008149902011014676,-0.02432872865394586,0.005902467777985727,0.7507844757899066,0.007664258025541063,0.17487071758089115,0.005027789522112147
G p50-p75,308532,25.0,0.047003383250351916,0.09704186120368898,0.3859211475816825,-0.4095286167756915,0.011319808653079652,-0.024814776869525317,0.008415648177291539,0.6385170791392849,0.008724546702324695,0.1754604321128221,0.005298848764425398
G p75-p90,185120,15.0,0.09704203231502216,0.24451180495929833,0.4206077068828219,-0.2772126339937529,0.009597417192836997,-0.13170546034784275,0.007027652674164892,0.5874439969572307,0.006287100870343931,0.20310404042597532,0.0036785084188761903
G p90-p95,61702,5.0,0.24451255005076347,0.468738887327217,0.4555199475781003,0.20119735622297344,0.008254371934660191,0.08756086205653156,0.006158266787010168,0.1584837858084452,0.007032478073269997,0.03013740448040706,0.0041039059984676295
G p95-p99,49369,4.0,0.46879575249845196,0.7715001871815708,0.4960731763726993,0.002167224329944504,0.008907565382402486,0.12358621034280341,0.005049857183459167,0.22441939514477305,0.006071264463765713,-0.021210646378493774,0.0033237426598541797
G p99-p100,12343,1.0,0.7715998544768146,0.9726716137397169,0.529358093583077,-0.5732261875307074,0.025604971122721018,-0.06707669536729585,0.014120892009948456,0.2677847111133649,0.012293230561652362,0.001581301393426517,0.006744146136728271
G p90-p100,123414,10.0,0.24451255005076347,0.9726716137397169,0.46094745304149043,0.024341292140793183,0.00506053176493892,0.09903199993024132,0.0030946647687341592,0.20818453317609428,0.004274470620261847,0.007913422175899944,0.0023890708653108305
G p0-p100,1234131,100.0,-2.9121867062952424e-21,0.9726716137397169,0.3578442933082796,-0.1671717696484716,0.002845316119948251,0.04648854204406868,0.0018266359843667882,0.41374448841032974,0.0025200548294543866,0.10449150391107397,0.0015853783570375396
