dimension,group,loans,observed_72h_rate,predicted_72h_rate,calibration_gap,median_absolute_error_hours,use_boundary
sector,Sanitation & Hygiene,5123,0.9732578567245754,0.7956581277224458,-0.1775997290021296,16.866983061357217,diagnostic guardrail only; no protected-group targeting
sector,Retail,28475,0.4726953467954345,0.3718444678027156,-0.1008508789927189,57.489537277971024,diagnostic guardrail only; no protected-group targeting
sector,Health,1419,0.3953488372093023,0.3086577220288461,-0.0866911151804561,102.38936275302764,diagnostic guardrail only; no protected-group targeting
sector,Agriculture,46312,0.5034116427707721,0.4444214245148108,-0.0589902182559612,54.209451502799595,diagnostic guardrail only; no protected-group targeting
sector,Food,28209,0.4842071679251303,0.4526604195942329,-0.0315467483308973,50.03993019960697,diagnostic guardrail only; no protected-group targeting
sector,Reuse & Recycle,1114,0.6660682226211849,0.6360800438392191,-0.0299881787819658,19.831530940803297,diagnostic guardrail only; no protected-group targeting
sector,Personal Use,1080,0.862037037037037,0.8340142026303232,-0.0280228344067138,7.933797773036879,diagnostic guardrail only; no protected-group targeting
sector,Clothing,3862,0.3860693940963231,0.3739847677674491,-0.0120846263288739,74.72742025150691,diagnostic guardrail only; no protected-group targeting
sector,Services,5851,0.4115535805845154,0.4229870471748089,0.0114334665902934,63.70614256065048,diagnostic guardrail only; no protected-group targeting
sector,Education,1530,0.4751633986928104,0.4877660334289447,0.0126026347361342,79.599675108667,diagnostic guardrail only; no protected-group targeting
sector,Housing,4202,0.6830080913850547,0.6964917310704174,0.0134836396853627,11.296724598036604,diagnostic guardrail only; no protected-group targeting
sector,Clean Energy,2116,0.7164461247637051,0.7379091642856729,0.0214630395219678,15.406140079145786,diagnostic guardrail only; no protected-group targeting
sector,Arts,1111,0.5391539153915391,0.5689179785247923,0.0297640631332531,32.89446201723264,diagnostic guardrail only; no protected-group targeting
sector,Transportation,1185,0.5215189873417722,0.6204921902095137,0.0989732028677415,42.31414809416026,diagnostic guardrail only; no protected-group targeting
