duckdb_dow_code,weekday,loans,index
0,Sunday,174959,0.8955591792561827
1,Monday,202647,1.037285198239174
2,Tuesday,211337,1.0817665296810333
3,Wednesday,202963,1.0389027012006962
4,Thursday,202395,1.0359952908141628
5,Friday,204855,1.0485872442487971
6,Saturday,168384,0.8619038565599544
