period,day,arrivals,arrivals_per_day,arrivals_index,arrivals_share_pct,completions_index,completions_per_day,net_per_day
2024-2025,1,5235,218.125,0.5675844454674988,1.8773332185775302,1.7521775772861004,679.9583333333334,-461.83333333333337
2024-2025,2,5240,218.33333333333334,0.5681265509550513,1.8791262780031057,1.1047340580119298,428.7083333333333,-210.37499999999997
2024-2025,3,5855,243.95833333333334,0.6348055259240124,2.09967258734889,0.9011597773247281,349.7083333333333,-105.74999999999997
2024-2025,4,5285,220.20833333333334,0.573005500343024,1.8952638128332848,0.7848776328182726,304.5833333333333,-84.37499999999997
2024-2025,5,5030,209.58333333333334,0.545358120477845,1.8038177821289352,0.7712415918650688,299.2916666666667,-89.70833333333334
2024-2025,6,4986,207.75,0.5405875921873827,1.788038859183871,0.5951541338866875,230.95833333333334,-23.208333333333343
2024-2025,7,5649,235.375,0.6124707798368482,2.02579853901518,0.6141586949002079,238.33333333333334,-2.958333333333343
2024-2025,8,5377,224.04166666666666,0.5829802413139905,1.928256106263874,0.6276873654522055,243.58333333333334,-19.541666666666686
2024-2025,9,4276,178.16666666666666,0.4636086129549235,1.5334244207521526,0.6181313997448421,239.875,-61.70833333333334
2024-2025,10,4540,189.16666666666666,0.4922317826976971,1.6280979584225381,0.5164516298024475,200.41666666666666,-11.25
2024-2025,11,4536,189.0,0.4917980983076551,1.6266635108820777,0.44333238658093677,172.04166666666666,16.958333333333343
2024-2025,12,4222,175.91666666666666,0.45775387368935616,1.5140593789559373,0.5175253338145109,200.83333333333334,-24.916666666666686
2024-2025,13,4553,189.70833333333334,0.4936412569653337,1.6327599129290344,0.5199948530422565,201.79166666666666,-12.083333333333314
2024-2025,14,4211,175.45833333333334,0.45656124161674067,1.5101146482196712,0.4654506892294408,180.625,-5.166666666666657
2024-2025,15,4804,200.16666666666666,0.5208549524404706,1.7227714960929235,0.458364242749823,177.875,22.291666666666657
2024-2025,16,4500,187.5,0.48789493879727686,1.613753483017934,0.4057527461587213,157.45833333333334,30.041666666666657
2024-2025,17,13334,555.5833333333334,1.4456869142050865,4.781730876124697,0.807103305867983,313.2083333333333,242.37500000000006
2024-2025,18,54610,2275.4166666666665,5.92087613504873,19.583795046135418,2.750507567702557,1067.375,1208.0416666666665
2024-2025,19,11948,497.8333333333333,1.2954152730555253,4.284694803355173,2.4140087303219184,936.7916666666666,-438.9583333333333
2024-2025,20,10410,433.75,1.1286636250843671,3.7331497240481544,1.6133476485263154,626.0833333333334,-192.33333333333337
2024-2025,21,10654,443.9166666666667,1.1551183728769305,3.820651024016238,1.4135313318813352,548.5416666666666,-104.62499999999994
2024-2025,22,10719,446.625,1.1621657442151134,3.843960796548719,1.536363070861377,596.2083333333334,-149.58333333333337
2024-2025,23,11021,459.2083333333333,1.1949089156632862,3.952261585853478,1.3790654330941032,535.1666666666666,-75.95833333333331
2024-2025,24,11231,467.9583333333333,1.2176773461404924,4.0275700817276485,1.147682218494462,445.375,22.583333333333314
2024-2025,25,9276,386.5,1.0057141005074532,3.326483846327635,1.0694091960150474,415.0,-28.5
2024-2025,26,8187,341.125,0.8876435253185123,2.935955503437295,1.1316840287147187,439.1666666666667,-98.04166666666669
2024-2025,27,9287,386.9583333333333,1.006906732580069,3.3304285770639015,1.014650291399819,393.75,-6.791666666666686
2024-2025,28,10055,418.9583333333333,1.0901741354681374,3.6058425048322955,0.9089978166127902,352.75,66.20833333333331
2024-2025,29,10486,455.9130434782609,1.1863342210384336,3.760404227316902,0.9153560116755303,355.2173913043478,100.69565217391306
2024-2025,30,11547,524.8636363636364,1.3657509959496135,4.1408914374240195,1.006392531452496,390.54545454545456,134.3181818181818
2024-2025,31,7789,556.3571428571429,1.4477004488731389,2.793227973161487,0.7957067047113683,308.7857142857143,247.5714285714286
2016-2025,1,34160,284.6666666666667,0.7109807041638997,2.349684828574809,1.6389043500198515,651.25,-366.5833333333333
