component,log_contribution,share_of_total_pct,percent_if_alone
C 主效应,0.617963247554301,76.4767308567258,85.5145718746182
H 主效应,0.21522164209549666,26.634994333758588,24.013673301152526
C×H 交互,-0.02514401155314475,-3.1117251904843823,-2.4830533753745665
合计,0.8080408780966529,100.0,124.35083720010047
C 单独 P25→P75（另一变量在均值）,0.617963247554301,,85.5145718746182
H 单独 P25→P75（另一变量在均值）,0.21522164209549666,,24.013673301152526
