representation,n,term,estimate,std_error,p_value,ci_low,ci_high
masked description hashed TF-IDF,1234124,C,0.4450537292788029,0.06570932441025254,2.2133281873948363e-08,0.3127083563030423,0.5773991022545635
masked description hashed TF-IDF,1234124,H,0.5153608738377288,0.036117104900162775,0.0,0.4426172904617459,0.5881044572137116
masked description hashed TF-IDF,1234124,CH,0.1297942252006525,0.02098804007498485,1.662757351805766e-07,0.08752214255965851,0.1720663078416465
masked description hashed TF-IDF,1234124,V,0.1367273529651886,0.10401226472643102,0.19532825567835088,-0.07276410190548788,0.34621880783586506
masked description hashed TF-IDF,1234124,G,-0.22518493908040849,0.07193203752211362,0.003062175907027287,-0.3700634996228017,-0.08030637853801523
masked description hashed TF-IDF,1234124,VG,-0.013571893417923166,0.015164546006380312,0.37556260305504185,-0.04411485692021326,0.016971070084366928
