specification,variable,source_column,n_fit,mean,std,p25,p50,p75
active_raw,C,C_active,1234131.0,6.268607499239597,1.2800597432751482,5.641907070938114,6.694562058521095,7.162397497355718
active_raw,H,H_active_raw,1234131.0,0.10353925094849395,0.14825352079650767,0.026199288180702246,0.04804661736813529,0.10525517881772621
active_raw,V,V_lag,1234131.0,6.2204959523439385,1.0642039168142663,5.635038770176567,6.602499528775485,6.9674707496691966
active_raw,G,G_lag_raw,1234131.0,0.1032433408485614,0.15398162593855239,0.02611543155563878,0.047003383250351916,0.09704203231502216
active_residual,C,C_active,1149206.0,6.25010081904607,1.2844648851519573,5.575949103146316,6.673297967767654,7.1569563646156364
active_residual,H,H_active_residual,1149206.0,0.0778566936136174,0.128878621834391,0.020107519951724297,0.03263604676018518,0.07026458015857584
active_residual,V,V_lag,1149206.0,6.209303966261858,1.0776729991513825,5.566470498194245,6.605466039228027,6.974154961699242
active_residual,G,G_lag_residual,1149206.0,0.07792646406372859,0.13685381709750474,0.01927648572204254,0.03082265413118101,0.059790231869778304
posting_14d_raw,C,C_14d,1256348.0,6.642105508182923,1.0917256408758564,6.023447592961033,7.0431599159883405,7.412160334945205
posting_14d_raw,H,H_14d_raw,1256348.0,0.1234049702075505,0.17815517590652608,0.027421749509070052,0.052350058025965165,0.12459976543728196
posting_14d_raw,V,V_lag,1256348.0,6.182943896444594,1.0957402691648706,5.521966487623799,6.588106833147206,6.959996181583643
posting_14d_raw,G,G_lag_raw,1256348.0,0.10427687201169923,0.15473539031605446,0.02621643438401505,0.04739299665971139,0.098511334515354
posting_16d_raw,C,C_16d,1256578.0,6.7642306273073975,1.0866025422370678,6.137727054086234,7.172424577124845,7.5251007461258
posting_16d_raw,H,H_16d_raw,1256578.0,0.12127871038716546,0.1754756358810822,0.027386529457075235,0.051997037145517094,0.1216798802891976
posting_16d_raw,V,V_lag,1256578.0,6.182387181065494,1.0964566857716487,5.520586431946191,6.587924294507458,6.959941868837731
posting_16d_raw,G,G_lag_raw,1256578.0,0.10428654647746123,0.15475551222972336,0.02621617391823539,0.047392889784013695,0.09851925059384604
active_completed_lag_raw,C,C_active,1234131.0,6.268607499239555,1.28005974327517,5.641907070938114,6.694562058521095,7.162397497355718
active_completed_lag_raw,H,H_active_raw,1234131.0,0.10353925094849359,0.1482535207965071,0.026199288180702246,0.04804661736813529,0.10525517881772621
active_completed_lag_raw,V,V_lag_completed,1234131.0,6.204152576612985,1.0597422588659418,5.63069099725055,6.5894587657635375,6.942324183027896
active_completed_lag_raw,G,G_lag_completed_raw,1234131.0,0.10341765923581617,0.15426403986786183,0.02611308417774541,0.04703065037048626,0.09718248165119514
