c_quartile,median_C,median_pool_size,n,H_slope,std_error,p_value,ci_low,ci_high,percent_per_sd
1,4.51085950651685,89.99999999999997,308219,0.2497612246138701,0.029904848809762973,1.2673484484082564e-10,0.1894919620040306,0.3100304872237096,28.371885962366843
2,6.2324480165505225,507.9999999999999,308591,0.6631502390697486,0.18866735634040968,0.001088309458618708,0.2821287831554287,1.0441716949840685,94.089700334045
3,6.949856455000773,1042.0000000000002,308474,0.8913869683587169,0.17711346855327414,1.198085407616567e-05,0.5328394962692626,1.2499344404481711,143.8509442355417
4,7.467942332285852,1750.0000000000002,308840,0.7422170205166557,0.10092008755277031,8.191706646343277e-09,0.5379149842533425,0.946519056779969,110.05874012904151
