step,note,scaler_specification,n,term,estimate,std_error,p_value,ci_low,ci_high,ch_total_change,ch_sample_composition_share,ch_text_representation_share
raw_text_full_sample,"baseline: raw text, all rows with raw text",active_raw,1234131,C,0.5202465351140485,0.03972703075414252,0.0,0.44023218784195645,0.6002608823861406,-0.049345457389094224,0.016797652026262835,0.9832023479737372
raw_text_full_sample,"baseline: raw text, all rows with raw text",active_raw,1234131,H,0.40360517015441055,0.06344093242220433,9.047657067995374e-08,0.27582857316908804,0.5313817671397331,-0.049345457389094224,0.016797652026262835,0.9832023479737372
raw_text_full_sample,"baseline: raw text, all rows with raw text",active_raw,1234131,CH,0.10166469106038674,0.03276560847107891,0.0033078626910127973,0.03567136800004374,0.16765801412072973,-0.049345457389094224,0.016797652026262835,0.9832023479737372
raw_text_residual_sample,"isolates sample composition: raw text, rows that survive removal",active_raw,1149206,C,0.5097771095985647,0.03781248439076489,0.0,0.433618856645121,0.5859353625520084,-0.049345457389094224,0.016797652026262835,0.9832023479737372
raw_text_residual_sample,"isolates sample composition: raw text, rows that survive removal",active_raw,1149206,H,0.417328774341411,0.06922936853412572,2.835388299704533e-07,0.27789366856674735,0.5567638801160747,-0.049345457389094224,0.016797652026262835,0.9832023479737372
raw_text_residual_sample,"isolates sample composition: raw text, rows that survive removal",active_raw,1149206,CH,0.10083580323808795,0.03331831008340477,0.004083373350977082,0.03372928198731952,0.16794232448885638,-0.049345457389094224,0.016797652026262835,0.9832023479737372
residual_text_residual_sample,isolates text representation,active_residual,1149206,C,0.6227782222456553,0.0448306249137048,0.0,0.5324847086813164,0.7130717358099942,-0.049345457389094224,0.016797652026262835,0.9832023479737372
residual_text_residual_sample,isolates text representation,active_residual,1149206,H,0.3005143815759262,0.0729561508759764,0.00016069902817394954,0.15357315085691978,0.4474556122949326,-0.049345457389094224,0.016797652026262835,0.9832023479737372
residual_text_residual_sample,isolates text representation,active_residual,1149206,CH,0.052319233671292514,0.0338064458090029,0.12872066837780216,-0.01577044339863691,0.12040891074122194,-0.049345457389094224,0.016797652026262835,0.9832023479737372
