variable,conditioned_on,z_of_other,marginal_log_effect,marginal_percent
C,H 在 P25,-0.5216737002418202,0.4672107395446403,59.55376108592235
C,H 在均值,0.0,0.5202465351140555,68.24423796980025
C,H 在 P75,0.011574280732179667,0.5214232307889388,68.44232675919787
H,C 在 P25,-0.48958685842117317,0.35383147344577537,42.451509762893885
H,C 在均值,0.0,0.4036051701543909,49.72126859884284
H,C 在 P75,0.6982408460321062,0.4745916100519904,60.73576347272136
