channel,left_quartile,right_quartile,n,median_funding_hours,fast_72h_rate,mean_left,mean_right
current,1,1,62213,49.63,0.5509941652066288,4.531235104550977,0.01634071458402135
current,1,2,55269,56.04527777777778,0.5303515533119832,4.546004529220683,0.03629710319995973
current,1,3,76883,62.992222222222225,0.5172274755147431,4.376739937250726,0.07263123594675294
current,1,4,114168,21.055555555555557,0.6857438161306145,4.200161729449457,0.32831579979177306
current,2,1,103619,55.645833333333336,0.5345641243401307,6.219906463773473,0.017762817495074298
current,2,2,97954,32.23361111111111,0.5950752393980848,6.233844493413874,0.03569815039468368
current,2,3,66605,24.33416666666667,0.6163200960888822,6.247257387175428,0.06706373271707171
current,2,4,40355,44.13194444444444,0.577524470325858,6.213727543152925,0.3679415585238458
current,3,1,83667,117.9713888888889,0.4293209987211206,6.935595587435599,0.018238263018110643
current,3,2,89214,109.32208333333334,0.439762817495012,6.936170903092508,0.03580806995832542
current,3,3,75337,102.67944444444444,0.44720389715544817,6.949924982944437,0.0695379432555866
current,3,4,60315,117.2875,0.41633092928790516,6.962827906387476,0.2641963559600815
current,4,1,59034,128.7891666666667,0.4173696513873361,7.489044211334944,0.01828729477884507
current,4,2,66096,167.15916666666666,0.383956669087388,7.505547644602476,0.03613310270959564
current,4,3,89708,167.60291666666666,0.3792192446604539,7.527590731380974,0.07311123705521783
current,4,4,93694,188.14111111111112,0.37182743825645187,7.567287864585731,0.22539145577297828
recent,1,1,60049,107.165,0.4397408782827358,4.6096614377705984,0.016719056817423535
recent,1,2,54717,107.77083333333333,0.4394612277719904,4.554142179682911,0.03584453863365961
recent,1,3,69001,92.96444444444444,0.4648483355313691,4.499850468042356,0.06832713109422955
recent,1,4,124766,15.282083333333333,0.7350960998990109,4.646874602468368,0.3537354559230713
recent,2,1,79133,112.49527777777777,0.43415515650866265,6.343498134471974,0.017354583565121984
recent,2,2,70305,76.10027777777778,0.4918000142237394,6.363559095511009,0.03531566747170107
recent,2,3,73043,54.21611111111111,0.538052927727503,6.327296979871968,0.06715144700859188
recent,2,4,86052,38.49583333333333,0.5881443778180635,6.16390784434617,0.3103078948981006
recent,3,1,94553,109.64416666666666,0.44056772392203314,6.787972228189959,0.018133576890579213
recent,3,2,94312,90.75236111111111,0.4700250233268301,6.7884742418068775,0.03492697274815147
recent,3,3,77070,56.17958333333333,0.5318411833398209,6.790702859833591,0.06694547613819037
recent,3,4,42598,40.52708333333334,0.5700267618198037,6.79999294074571,0.20809092098825505
recent,4,1,74798,142.4211111111111,0.40200272734565096,7.1842121106509405,0.018485764194790404
recent,4,2,89199,165.42222222222222,0.391798114328636,7.202326029791383,0.03550385604606405
recent,4,3,89419,134.20666666666668,0.41864704369317485,7.216991522040272,0.06659647721886594
recent,4,4,55116,91.96986111111111,0.46661586472167793,7.229667455176827,0.19234044355190408
